场景,离网产量t,弃电MWh,可再生利用率,吨氨成本元_t
S1(风1光1),40.0,147.9,80.6%,4143
S2(风1光2),30.5,20.1,96.0%,3893
S3(风1光3),19.1,12.6,96.3%,4185
S4(风1光4),13.9,19.7,92.8%,4565
S5(风2光1),36.1,99.0,85.0%,3982
S6(风2光2),23.9,9.4,97.7%,3867
S7(风2光3),11.6,13.3,94.3%,4477
S8(风2光4),6.2,22.9,86.5%,5649
S9(风3光1),42.9,126.4,83.8%,4040
S10(风3光2),33.1,3.7,99.3%,3807
S11(风3光3),21.4,0.0,100.0%,4049
S12(风3光4),16.7,0.0,100.0%,4251
S13(风4光1),46.2,177.3,79.8%,4185
S14(风4光2),39.3,13.3,97.8%,3834
S15(风4光3),28.1,3.6,99.2%,3995
S16(风4光4),23.4,3.6,99.1%,4129
S17(风5光1),43.4,158.6,80.6%,4149
S18(风5光2),35.4,9.9,98.2%,3829
S19(风5光3),24.2,0.0,100.0%,4014
S20(风5光4),19.5,0.0,100.0%,4178
S21(风6光1),40.8,90.8,87.3%,3925
S22(风6光2),28.7,0.0,100.0%,3798
S23(风6光3),16.7,0.0,100.0%,4136
S24(风6光4),11.0,13.8,93.9%,4703
